Date,Instrument,ClosePrice
2023-08-13,BOND_US,106.17
2023-08-20,AAPL,199.79
2023-08-20,ETF_EU,119.54
2023-08-20,BOND_US,107.98
2023-08-27,AAPL,201.52
2023-08-27,ETF_EU,123.11
2023-08-27,BOND_US,109.88
2023-09-03,AAPL,204.62
2023-09-03,ETF_EU,125.44
2023-09-03,BOND_US,108.47
2023-09-10,AAPL,202.62
2023-09-10,ETF_EU,127.41
2023-09-10,BOND_US,108.98
2023-09-17,AAPL,206.21
2023-09-17,ETF_EU,125.52
2023-09-17,BOND_US,109.73
2023-09-24,AAPL,205.99
2023-09-24,ETF_EU,125.88
2023-09-24,BOND_US,110.84
2023-10-01,AAPL,207.04
2023-10-01,ETF_EU,126.76
2023-10-01,BOND_US,111.32
2023-10-08,AAPL,207.14
2023-10-08,ETF_EU,129.11
2023-10-08,BOND_US,109.16
2023-10-15,AAPL,209.19
2023-10-15,ETF_EU,130.18
2023-10-15,BOND_US,110.89
2023-10-22,AAPL,211.27
2023-10-22,ETF_EU,132.96
2023-10-22,BOND_US,113.99
2023-10-29,AAPL,210.67
2023-10-29,ETF_EU,131.81
2023-10-29,BOND_US,114.12
2023-11-05,AAPL,209.49
2023-11-05,ETF_EU,133.23
2023-11-05,BOND_US,117.05
2023-11-12,AAPL,206.75
2023-11-12,ETF_EU,131.23
2023-11-12,BOND_US,116.2
2023-11-19,AAPL,210.12
2023-11-19,ETF_EU,132.5
2023-11-19,BOND_US,114.47
2023-11-26,AAPL,215.57
2023-11-26,ETF_EU,135.09
2023-11-26,BOND_US,112.31
2023-12-03,AAPL,218.28
2023-12-03,ETF_EU,137.59
2023-12-03,BOND_US,112.17
2023-12-10,AAPL,214.67
2023-12-10,ETF_EU,135.37
2023-12-10,BOND_US,110.51
2023-12-17,AAPL,219.4
2023-12-17,ETF_EU,138.83
2023-12-17,BOND_US,108.98
2023-12-24,AAPL,217.6
2023-12-24,ETF_EU,137.2
2023-12-24,BOND_US,107.82
2023-12-31,AAPL,222.36
2023-12-31,ETF_EU,136.74
2023-12-31,BOND_US,107.34
2024-01-07,AAPL,220.44
2024-01-07,ETF_EU,138.16
2024-01-07,BOND_US,107.23
2024-01-14,AAPL,224.23
2024-01-14,ETF_EU,136.81
2024-01-14,BOND_US,109.31
2024-01-21,AAPL,226.52
2024-01-21,ETF_EU,134.86
2024-01-21,BOND_US,109.39
2024-01-28,AAPL,231.77
2024-01-28,ETF_EU,138.39
2024-01-28,BOND_US,109.75
2024-02-04,AAPL,232.7
2024-02-04,ETF_EU,141.97
2024-02-04,BOND_US,110.77
2024-02-11,AAPL,228.43
2024-02-11,ETF_EU,145.61
2024-02-11,BOND_US,109.93
2024-02-18,AAPL,230.46
2024-02-18,ETF_EU,143.91
2024-02-18,BOND_US,107.92
2024-02-25,AAPL,229.44
2024-02-25,ETF_EU,146.64
2024-02-25,BOND_US,107.26
2024-03-03,AAPL,227.38
2024-03-03,ETF_EU,145.27
2024-03-03,BOND_US,107.88
2024-03-10,AAPL,233.92
2024-03-10,ETF_EU,145.7
2024-03-10,BOND_US,108.72
2024-03-17,AAPL,239.31
2024-03-17,ETF_EU,146.68
2024-03-17,BOND_US,107.55
2024-03-24,AAPL,238.11
2024-03-24,ETF_EU,146.02
2024-03-24,BOND_US,107.54
2024-03-31,AAPL,238.42
2024-03-31,ETF_EU,148.94
2024-03-31,BOND_US,107.27
2024-04-07,AAPL,239.24
2024-04-07,ETF_EU,150.62
2024-04-07,BOND_US,107.15
2024-04-14,AAPL,244.46
2024-04-14,ETF_EU,152.03
2024-04-14,BOND_US,106.58
2024-04-21,AAPL,248.3
2024-04-21,ETF_EU,153.0
2024-04-21,BOND_US,107.3
2024-04-28,AAPL,249.31
2024-04-28,ETF_EU,153.74
2024-04-28,BOND_US,109.26
2024-05-05,AAPL,245.6
2024-05-05,ETF_EU,153.24
2024-05-05,BOND_US,107.48
2024-05-12,AAPL,249.94
2024-05-12,ETF_EU,152.26
2024-05-12,BOND_US,110.16
2024-05-19,AAPL,251.52
2024-05-19,ETF_EU,155.31
2024-05-19,BOND_US,113.35
2024-05-26,AAPL,257.05
2024-05-26,ETF_EU,158.94
2024-05-26,BOND_US,113.39
2024-06-02,AAPL,259.0
2024-06-02,ETF_EU,157.77
2024-06-02,BOND_US,112.23
2024-06-09,AAPL,260.37
2024-06-09,ETF_EU,159.31
2024-06-09,BOND_US,111.89
2024-06-16,AAPL,262.58
2024-06-16,ETF_EU,163.2
2024-06-16,BOND_US,112.77
2024-06-23,AAPL,266.79
2024-06-23,ETF_EU,166.5
2024-06-23,BOND_US,116.09
2024-06-30,AAPL,269.5
2024-06-30,ETF_EU,169.89
2024-06-30,BOND_US,119.36
2024-07-07,AAPL,276.83
2024-07-07,ETF_EU,167.69
2024-07-07,BOND_US,119.39
2024-07-14,AAPL,275.78
2024-07-14,ETF_EU,165.07
2024-07-14,BOND_US,120.79
2024-07-21,AAPL,280.41
2024-07-21,ETF_EU,168.76
2024-07-21,BOND_US,119.11
2024-07-28,AAPL,287.09
2024-07-28,ETF_EU,170.81
2024-07-28,BOND_US,120.92
2024-08-04,AAPL,294.42
2024-08-04,ETF_EU,172.73
2024-08-04,BOND_US,120.53
2024-08-11,AAPL,300.68
2024-08-11,ETF_EU,172.41
2024-08-11,BOND_US,118.33
2024-08-18,AAPL,307.16
2024-08-18,ETF_EU,171.94
2024-08-18,BOND_US,120.54
2024-08-25,AAPL,306.58
2024-08-25,ETF_EU,175.91
2024-08-25,BOND_US,119.45
2024-09-01,AAPL,315.39
2024-09-01,ETF_EU,179.25
2024-09-01,BOND_US,117.75
2024-09-08,AAPL,318.01
2024-09-08,ETF_EU,184.49
2024-09-08,BOND_US,118.17
2024-09-15,AAPL,314.54
2024-09-15,ETF_EU,185.27
2024-09-15,BOND_US,118.83
2024-09-22,AAPL,319.92
2024-09-22,ETF_EU,188.04
2024-09-22,BOND_US,118.85
2024-09-29,AAPL,317.0
2024-09-29,ETF_EU,190.35
2024-09-29,BOND_US,118.97
2024-10-06,AAPL,312.76
2024-10-06,ETF_EU,195.11
2024-10-06,BOND_US,120.71
2024-10-13,AAPL,317.19
2024-10-13,ETF_EU,199.23
2024-10-13,BOND_US,121.49
2024-10-20,AAPL,323.77
2024-10-20,ETF_EU,200.21
2024-10-20,BOND_US,119.47
2024-10-27,AAPL,323.86
2024-10-27,ETF_EU,201.19
2024-10-27,BOND_US,121.38
2024-11-03,AAPL,319.11
2024-11-03,ETF_EU,198.57
2024-11-03,BOND_US,120.55
2024-11-10,AAPL,316.98
2024-11-10,ETF_EU,201.87
2024-11-10,BOND_US,119.65
2024-11-17,AAPL,320.67
2024-11-17,ETF_EU,202.82
2024-11-17,BOND_US,120.69
2024-11-24,AAPL,327.69
2024-11-24,ETF_EU,202.87
2024-11-24,BOND_US,122.93
2024-12-01,AAPL,328.06
2024-12-01,ETF_EU,202.4
2024-12-01,BOND_US,126.36
2024-12-08,AAPL,324.52
2024-12-08,ETF_EU,199.26
2024-12-08,BOND_US,128.71
2024-12-15,AAPL,319.14
2024-12-15,ETF_EU,203.62
2024-12-15,BOND_US,128.95
2024-12-22,AAPL,327.36
2024-12-22,ETF_EU,206.89
2024-12-22,BOND_US,130.3
2024-12-29,AAPL,336.35
2024-12-29,ETF_EU,206.86
2024-12-29,BOND_US,133.91
2025-01-05,AAPL,331.9
2025-01-05,ETF_EU,207.72
2025-01-05,BOND_US,133.04
2025-01-12,AAPL,334.22
2025-01-12,ETF_EU,205.25
2025-01-12,BOND_US,135.98
2025-01-19,AAPL,341.68
2025-01-19,ETF_EU,210.95
2025-01-19,BOND_US,134.31
2025-01-26,AAPL,345.49
2025-01-26,ETF_EU,211.73
2025-01-26,BOND_US,133.94
2025-02-02,AAPL,344.65
2025-02-02,ETF_EU,211.87
2025-02-02,BOND_US,135.98
2025-02-09,AAPL,348.07
2025-02-09,ETF_EU,212.5
2025-02-09,BOND_US,133.78
2025-02-16,AAPL,342.46
2025-02-16,ETF_EU,208.28
2025-02-16,BOND_US,137.57
2025-02-23,AAPL,335.7
2025-02-23,ETF_EU,205.18
2025-02-23,BOND_US,136.98
2025-03-02,AAPL,342.54
2025-03-02,ETF_EU,210.95
2025-03-02,BOND_US,139.66
2025-03-09,AAPL,347.52
2025-03-09,ETF_EU,212.23
2025-03-09,BOND_US,137.47
2025-03-16,AAPL,357.22
2025-03-16,ETF_EU,216.03
2025-03-16,BOND_US,139.11
2025-03-23,AAPL,363.63
2025-03-23,ETF_EU,219.53
2025-03-23,BOND_US,140.76
2025-03-30,AAPL,374.19
2025-03-30,ETF_EU,225.06
2025-03-30,BOND_US,142.5
2025-04-06,AAPL,379.67
2025-04-06,ETF_EU,221.14
2025-04-06,BOND_US,144.42
2025-04-13,AAPL,372.92
2025-04-13,ETF_EU,223.22
2025-04-13,BOND_US,148.75
